github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/benmontet/unbiasedrvs,True,True,1298,False,False,False,False,False,False,False
github.com/bfarr/kombine,True,True,1112,False,True,True,False,True,True,False
github.com/billfreeman44/bmep,True,True,1320,False,False,False,False,False,False,False
github.com/biokit/biokit,True,True,1948,True,True,True,True,True,True,False
github.com/birnstiel/dsharp,False,False,False,False,False,False,False,False,False,False
github.com/bjanesh/odi-tools,True,True,8154,True,False,True,True,False,False,False
github.com/bjfultn/three_neptunes,True,True,2375,False,False,False,False,False,False,False
github.com/bkloppenborg/oifits-sim,True,True,5220,True,False,False,False,False,False,False
github.com/bmcguir2/astromolecule_,False,False,False,False,False,False,False,False,False,False
github.com/bmorris3/arcsat,False,False,False,False,False,False,False,False,False,False
github.com/bobkopp/localizesl,True,True,6817,False,False,False,False,False,False,False
github.com/bobkopp/projectsl,True,True,2855,False,False,False,False,False,False,False
github.com/bobkopp/sesl,True,False,False,False,False,False,False,False,False,False
github.com/bogdanciambur/isofit,True,True,4391,True,False,False,False,False,False,False
github.com/bogdanciambur/profiler,True,True,2280,True,False,False,False,False,False,False
github.com/borisbolliet/class,False,False,False,False,False,False,False,False,False,False
github.com/borntyping/python-colorlog,True,True,8438,True,True,True,True,True,True,False
github.com/bradenmacdonald/astrodendro,True,True,8292,True,False,False,False,True,True,False
github.com/bradgreig/21cmmc,True,True,2509,False,False,False,False,False,False,False
github.com/brandon-rhodes/python-jplephem,True,True,1092,True,True,False,False,False,True,False
github.com/brandonckelly/carma,False,False,False,False,False,False,False,False,False,False
github.com/bretonr/icarus,True,True,6828,True,False,False,False,False,True,False
github.com/brian-rose/ebm-analytical,True,True,1387,False,False,False,False,False,False,False
github.com/brittonsmith/cloudy,False,False,False,False,False,False,False,False,False,False
github.com/brittonsmith/cloudy_cooling_tools,True,False,False,False,False,False,False,True,False,False
github.com/brittonsmith/ytree:,False,False,False,False,False,False,False,False,False,False
github.com/browndwarf/welter,True,True,2810,False,False,True,False,False,False,False
github.com/bsafdi/gce-2fig,True,True,3406,False,False,False,False,True,False,False
github.com/bsumlin/pymiescatt,True,True,1431,True,False,True,True,False,True,False
github.com/bthorne93/pysm_public,True,True,864,True,True,True,True,False,True,False
github.com/bu-hammerteam/pyhammer,True,True,2191,True,False,False,False,False,False,False
