arxiv_id,urls
arXiv:1603.00476,"['github.com/bccp/nbodykit,' 'github.com/mpip/pfft/issues/6'
 'github.com/rainwoodman/fastpm']"
arXiv:1712.04042,"['github.com/California-Planet-Search/' 'github.com/danxhuber/isoclassify'
 'github.com/pgromano/pinky)']"
arXiv:1311.2594,['github.com/CosmoloPy/']
arXiv:1311.4300,[]
arXiv:1311.5588,['github.com/eblur/dust']
arXiv:1801.05595,['github.com/dfm/corner']
arXiv:1212.1458,['github.com/CosmoloPy/']
arXiv:1604.06327,['github.com/healpy/healpy' 'github.com/veragluscevic/pmfs']
arXiv:1402.2702,['github.com/pynbody/pynbody)']
arXiv:1402.6329,[]
arXiv:1603.09341,[]
arXiv:1308.6157,['github.com/bradenmacdonald/astrodendro']
arXiv:1411.1911,[]
arXiv:1901.01439,[]
arXiv:1808.10438,[]
arXiv:1803.01952,['github.com/healpy/healpy']
arXiv:1803.04983,['github.com/matteocantiello/ulgrb']
arXiv:1712.01823,['github.com/hannorein/rebound']
arXiv:1501.04965,[]
arXiv:1205.5273,[]
arXiv:1603.00042,['github.com/dfm/corner']
arXiv:1608.04760,"['github.com/awmann/Teﬀ' 'github.com/awmann/metal,'
 'github.com/chenjj2/forecaster' 'github.com/dawolfgang/MRrelation'
 'github.com/ernewton/nirew' 'github.com/hpparvi/ldtk'
 'github.com/timothydmorton/vespa']"
arXiv:1609.09075,['github.com/jlustigy/coronagraph/' 'github.com/rodluger/exoaurora']
arXiv:1502.01347,[]
arXiv:1805.03194,['github.com/jobovy/gaia' 'github.com/jobovy/mwdust']
arXiv:1803.05917,['github.com/']
arXiv:1803.05056,"['github.com/KeplerGO/kadenza' 'github.com/hpparvi/PyTransit'
 'github.com/petigura/k2phot' 'github.com/petigura/terra']"
arXiv:1401.5179,[]
arXiv:1509.04791,[]
arXiv:1508.04143,['github.com/pynbody/pynbody;']
arXiv:1410.6818,['github.com/']
arXiv:1801.03874,"['github.com/danxhuber/galclassify' 'github.com/ericagol/TTVFaster'
 'github.com/petigura/k2phot' 'github.com/petigura/terra'
 'github.com/timothydmorton/VESPA']"
