github_url,repo_name,mentions,n_unq_authors,n_unq_first_authors,arxiv_ids,citation_count,nasa_ack_mentions,unq_keywords
github.com/becot85/jinapycee,jinapycee,1,5,1,['arXiv:1710.06442'],8,1,"['Astrophysics - Astrophysics of Galaxies' 'galaxies: formation'
 'galaxies: high redshift' 'galaxies: star formation' 'stars: abundances']"
github.com/benanne/kaggle-galaxies,kaggle-galaxies,1,3,1,['arXiv:1503.07077'],126,0,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Computer Science - Computer Vision and Pattern Recognition'
 'Computer Science - Machine Learning'
 'Computer Science - Neural and Evolutionary Computing'
 'Statistics - Machine Learning' 'catalogues' 'galaxies: general'
 'methods: data analysis' 'techniques: image processing']"
github.com/benbaror/scrrpy,scrrpy,1,2,1,['arXiv:1802.08890'],6,1,"['Astrophysics - Astrophysics of Galaxies' 'black hole physics'
 'galaxies: nuclei' 'gravitation' 'stars: kinematics and dynamics']"
github.com/bencebeky/spotrod,spotrod,2,4,2,"['arXiv:1407.4465', 'arXiv:1408.0401']",22,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'stars: individual: HAT-P-11- starspots' 'techniques: photometric']"
github.com/benjaminpope/inclinations,inclinations,1,23,1,['arXiv:1708.07462'],16,1,"['Astrophysics - Solar and Stellar Astrophysics' 'asteroseismology'
 'open clusters and associations: individual: Pleiades'
 'stars: early type' 'stars: variables: general' 'techniques: photometric']"
github.com/benjaminrose/mc-age,mc-age,1,3,1,['arXiv:1902.01433'],1,0,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics' 'distance scale'
 'galaxies: distances and redshifts' 'galaxies: general'
 'galaxies: photometry' 'galaxies: stellar content' 'supernovae: general']"
github.com/benmontet/unbiasedrvs,unbiasedrvs,1,1,1,['arXiv:1805.01906'],1,1,['Astrophysics - Earth and Planetary Astrophysics']
github.com/bfarr/kombine,kombine,2,4,2,"['arXiv:1710.09852', 'arXiv:1710.06068']",21,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Physics - Data Analysis' 'Statistics - Computation'
 'Statistics and Probability' 'methods: data analysis'
 'methods: numerical' 'methods: statistical']"
github.com/billfreeman44/bmep,bmep,3,28,2,"['arXiv:1710.03230', 'arXiv:1412.1835']",137,2,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'galaxies: distances and redshifts' 'galaxies: evolution'
 'galaxies: formation' 'galaxies: general' 'galaxies: high-redshift'
 'galaxies: kinematics and dynamics' 'galaxies: star formation' 'outflows'
 'stars: winds' 'surveys']"
github.com/biokit/biokit,biokit,1,4,1,['arXiv:1703.10165'],9,1,"['Astrophysics - Solar and Stellar Astrophysics' 'methods: statistical'
 'stars: abundances' 'stars: fundamental parameters' 'stars: low-mass'
 'stars: oscillations' 'stars: solar-type']"
github.com/bjanesh/odi-tools,odi-tools,1,12,1,['arXiv:1703.05293'],42,0,"['Astrophysics - Astrophysics of Galaxies' 'galaxies: evolution'
 'galaxies: star formation' 'radio lines: galaxies']"
github.com/bjfultn/three_neptunes,three_neptunes,1,20,1,['arXiv:1607.00007'],8,1,"['Astrophysics - Earth and Planetary Astrophysics' 'HD 143761' 'HD 164922'
 'planetary systems' 'stars: individual: HD 42618']"
github.com/bkloppenborg/oifits-sim,oifits-sim,4,49,4,"['arXiv:1405.4032', 'arXiv:1508.01909', 'arXiv:1508.04755']",57,0,"['Astrophysics - Solar and Stellar Astrophysics' 'binaries: eclipsing'
 'stars: fundamental parameters' 'starspots' 'supergiants'
 'techniques: image processing' 'techniques: interferometric'
 'techniques: photometric']"
github.com/bobkopp/localizesl,localizesl,3,14,3,"['arXiv:1704.05597', 'arXiv:1710.08297']",45,1,"['Climate change' 'Physics - Atmospheric and Oceanic Physics'
 'Probability' 'RCP scenarios' 'Sea-level projection' 'Uncertainty'
 'ambiguity' 'coastal flooding' 'deep uncertainty' 'ice sheet'
 'sea level rise']"
github.com/bobkopp/projectsl,projectsl,2,12,2,"['arXiv:1704.05597', 'arXiv:1710.08297']",25,1,"['Physics - Atmospheric and Oceanic Physics' 'ambiguity'
 'coastal flooding' 'deep uncertainty' 'ice sheet' 'sea level rise']"
github.com/bobkopp/sesl,sesl,1,7,1,['arXiv:1710.08297'],4,1,['Physics - Atmospheric and Oceanic Physics']
github.com/bogdanciambur/isofit,isofit,1,7,1,['arXiv:1901.00777'],0,0.0,['Astrophysics - Astrophysics of Galaxies']
github.com/bogdanciambur/profiler,profiler,1,1,1,['arXiv:1607.08620'],10,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Instrumentation and Methods for Astrophysics' 'NGC 3348'
 'Pox 52)' 'galaxies: fundamental parameters'
 'galaxies: individual (NGC 2549' 'galaxies: structure'
 'methods: data analysis']"
github.com/borntyping/python-colorlog,python-colorlog,1,2,1,['arXiv:1505.08123'],6,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Methods: data analysis' 'Techniques: interferometric']"
github.com/bradenmacdonald/astrodendro,astrodendro,0,0,0,[],0.0,0.0,[]
github.com/bradgreig/21cmmc,21cmmc,3,57,3,"['arXiv:1809.08995', 'arXiv:1606.07473', 'arXiv:1705.03471']",165,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'cosmology: theory' 'dark ages' 'diffuse radiation' 'early Universe'
 'early universe' 'first stars' 'galaxies: high-redshift'
 'intergalactic medium' 'reionization']"
github.com/brandon-rhodes/python-jplephem,python-jplephem,2,152,2,"['arXiv:1801.02634', 'arXiv:1712.09631']",386,2,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'methods: data analysis' 'methods: miscellaneous' 'methods: numerical'
 'methods: observational' 'methods: statistical' 'reference systems']"
github.com/bretonr/icarus,icarus,4,20,3,"['arXiv:1302.1790', 'arXiv:1108.4745', 'arXiv:1109.6847', 'arXiv:1807.04610']",165,3,"['Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Solar and Stellar Astrophysics' 'X-rays: binaries'
 'binaries: close' 'binaries: eclipsing' 'binaries: general'
 'pulsars: general' 'pulsars: individual: PSR J0636+5128'
 'pulsars: individual: PSRs J1810+1744 J0023+0923 J2215+5135 J22561024 B1920+57 J1023+0038'
 'stars: evolution' 'stars: individual: KOI-1224]'
 'stars: individual: SAX J1808.4-3658' 'stars: low-mass' 'stars: neutron'
 'techniques: photometric' 'white dwarfs']"
github.com/brian-rose/ebm-analytical,ebm-analytical,2,12,2,['arXiv:1805.00283'],9,2,"['Astrophysics - Earth and Planetary Astrophysics' 'astrobiology'
 'instabilities' 'planetary systems' 'planets and satellites: atmospheres'
 'planets and satellites: dynamical evolution and stability'
 'radiative transfer']"
github.com/brittonsmith/cloudy_cooling_tools,cloudy_cooling_tools,1,3,1,['arXiv:1612.03935'],13,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'cosmology: theory' 'methods: data analysis' 'methods: numerical'
 'radiative transfer']"
github.com/browndwarf/welter,welter,1,15,1,['arXiv:1701.06703'],21,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics'
 'stars: fundamental parameters' 'stars: individual: LkCa 4'
 'stars: low-mass' 'stars: statistics']"
github.com/bsafdi/gce-2fig,gce-2fig,1,7,1,['arXiv:1710.10266'],11,1,"['Astrophysics - High Energy Astrophysical Phenomena' 'Dark matter'
 'Galactic center' 'Gamma-ray astronomy'
 'High Energy Physics - Phenomenology' 'Millisecond pulsar']"
github.com/bsumlin/pymiescatt,pymiescatt,2,9,1,"['arXiv:1712.05028', 'arXiv:1710.05288']",8,2,"['78-04' 'Aerosol optics' 'Brown carbon aerosol'
 'Complex refractive index' 'Electromagnetic scattering and absorption'
 'Mie theory' 'Open-source software' 'Optical properties'
 'Physics - Atmospheric and Oceanic Physics' 'Physics - Optics' 'Python 3']"
github.com/bthorne93/pysm_public,pysm_public,2,24,2,"['arXiv:1608.02841', 'arXiv:1801.01481']",25,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'cosmic background radiation' 'cosmological parameters'
 'cosmology: observations' 'early universe' 'gravitational waves'
 'inflation']"
github.com/bu-hammerteam/pyhammer,pyhammer,3,9,3,"['arXiv:1702.06957', 'arXiv:1702.08465']",9,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'catalogs'
 'circumstellar matter' 'infrared: stars' 'methods: statistical'
 'planet─disk interactions' 'stars: abundances'
 'stars: fundamental parameters' 'stars: general' 'stars: late-type'
 'stars: low-mass' 'techniques: spectroscopic']"
github.com/c-matthews/usample,usample,1,4,1,['arXiv:1712.05024'],1,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'cosmology: cosmological parameters' 'methods: numerical']"
github.com/california-planet-search/radvel,radvel,14,150,12,"['arXiv:1612.04856', 'arXiv:1702.00013', 'arXiv:1711.01359', 'arXiv:1701.03811', 'arXiv:1612.04851', 'arXiv:1901.04558', 'arXiv:1801.01947', 'arXiv:1706.01892', 'arXiv:1903.07186', 'arXiv:1804.05148', 'arXiv:1705.03491', 'arXiv:1801.07320', 'arXiv:1805.00830', 'arXiv:1901.05532']",181,13,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'HIP 115752'
 'Hertzsprung─Russell and C─M diagrams' 'WASP-47 c' 'WASP-47 d'
 'WASP-47 e' 'binaries: eclipsing' 'binaries: spectroscopic' 'eclipses'
 'open clusters and associations: individual: Cas-Tau'
 'open clusters and associations: individual: Upper Scorpius'
 'planetary systems' 'planets and satellites: composition'
 'planets and satellites: detection'
 'planets and satellites: dynamical evolution and stability'
 'planets and satellites: formation'
 'planets and satellites: fundamental parameters'
 'planets and satellites: gaseous planets'
 'planets and satellites: general'
 'planets and satellites: individual: EPIC 247267267 b'
 'planets and satellites: individual: K2-55b &amp; EPIC 205924614.01'
 'planets and satellites: individual: WASP-47 b'
 'planets and satellites: interiors'
 'planets and satellites: physical evolution' 'stars: activity'
 'stars: evolution' 'stars: individual: GJ 9827'
 'stars: individual: HD 106315' 'stars: individual: HD 3167'
 'stars: individual: K2-18' 'stars: low-mass' 'stars: pre-main sequence'
 'techniques: photometric' 'techniques: radial velocities'
 'techniques: spectroscopic']"
github.com/camdavidsonpilon/lifelines,lifelines,10,90,8,"['arXiv:1812.00596', 'arXiv:1707.05873', 'arXiv:1802.00449', 'arXiv:1807.04098', 'arXiv:1610.01163', 'arXiv:1711.03974', 'arXiv:1806.08801', 'arXiv:1811.06497', 'arXiv:1705.10301', 'arXiv:1503.04214']",102,3,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics'
 'Computer Science - Artificial Intelligence'
 'Computer Science - Computer Vision and Pattern Recognition'
 'Computer Science - Computers and Society'
 'Computer Science - Information Retrieval'
 'Computer Science - Machine Learning'
 'Computer Science - Neural and Evolutionary Computing'
 'ISM: magnetic fields' 'Quantitative Biology - Quantitative Methods'
 'Statistics - Machine Learning' 'cosmology: observations'
 'galaxies: halos' 'gravitational lensing: strong' 'intergalactic medium'
 'polarization' 'protoplanetary disks' 'quasars: absorption lines'
 'quasars: general' 'stars: formation' 'stars: pre-main sequence'
 'stars: protostars' 'techniques: imaging spectroscopy']"
